checkpoint,q,attack,timing,rho,statistic,detected,trials,rate
all,64,sample_null,post_commit,0.01,spike,11,144,0.0763888888888889
all,64,sample_null,post_commit,0.1,combined,144,144,1.0
all,64,sample_null,post_commit,0.1,directional,108,144,0.75
all,64,sample_null,post_commit,0.1,energy,144,144,1.0
all,64,sample_null,post_commit,0.1,spike,138,144,0.9583333333333334
all,64,sparse_16,post_commit,0.01,combined,17,144,0.11805555555555555
all,64,sparse_16,post_commit,0.01,directional,9,144,0.0625
all,64,sparse_16,post_commit,0.01,energy,12,144,0.08333333333333333
all,64,sparse_16,post_commit,0.01,spike,12,144,0.08333333333333333
all,64,sparse_16,post_commit,0.1,combined,25,144,0.1736111111111111
all,64,sparse_16,post_commit,0.1,directional,17,144,0.11805555555555555
all,64,sparse_16,post_commit,0.1,energy,20,144,0.1388888888888889
all,64,sparse_16,post_commit,0.1,spike,20,144,0.1388888888888889
all,64,spike_1,post_commit,0.01,combined,12,144,0.08333333333333333
all,64,spike_1,post_commit,0.01,directional,4,144,0.027777777777777776
all,64,spike_1,post_commit,0.01,energy,7,144,0.04861111111111111
all,64,spike_1,post_commit,0.01,spike,7,144,0.04861111111111111
all,64,spike_1,post_commit,0.1,combined,11,144,0.0763888888888889
all,64,spike_1,post_commit,0.1,directional,3,144,0.020833333333333332
all,64,spike_1,post_commit,0.1,energy,6,144,0.041666666666666664
all,64,spike_1,post_commit,0.1,spike,6,144,0.041666666666666664
all,256,diffuse_balanced,post_commit,0.01,combined,59,144,0.4097222222222222
all,256,diffuse_balanced,post_commit,0.01,directional,15,144,0.10416666666666667
all,256,diffuse_balanced,post_commit,0.01,energy,56,144,0.3888888888888889
all,256,diffuse_balanced,post_commit,0.01,spike,3,144,0.020833333333333332
all,256,diffuse_balanced,post_commit,0.1,combined,144,144,1.0
all,256,diffuse_balanced,post_commit,0.1,directional,108,144,0.75
all,256,diffuse_balanced,post_commit,0.1,energy,144,144,1.0
all,256,diffuse_balanced,post_commit,0.1,spike,82,144,0.5694444444444444
all,256,directional,post_commit,0.01,combined,144,144,1.0
all,256,directional,post_commit,0.01,directional,144,144,1.0
all,256,directional,post_commit,0.01,energy,55,144,0.3819444444444444
all,256,directional,post_commit,0.01,spike,3,144,0.020833333333333332
all,256,directional,post_commit,0.1,combined,144,144,1.0
all,256,directional,post_commit,0.1,directional,144,144,1.0
all,256,directional,post_commit,0.1,energy,144,144,1.0
all,256,directional,post_commit,0.1,spike,84,144,0.5833333333333334
all,256,honest,none,0.0,combined,5,144,0.034722222222222224
all,256,honest,none,0.0,directional,0,144,0.0
all,256,honest,none,0.0,energy,4,144,0.027777777777777776
all,256,honest,none,0.0,spike,2,144,0.013888888888888888
all,256,sample_null,known_coordinates,0.01,combined,5,144,0.034722222222222224
all,256,sample_null,known_coordinates,0.01,directional,0,144,0.0
all,256,sample_null,known_coordinates,0.01,energy,4,144,0.027777777777777776
all,256,sample_null,known_coordinates,0.01,spike,2,144,0.013888888888888888
all,256,sample_null,known_coordinates,0.1,combined,5,144,0.034722222222222224
all,256,sample_null,known_coordinates,0.1,directional,0,144,0.0
all,256,sample_null,known_coordinates,0.1,energy,4,144,0.027777777777777776
all,256,sample_null,known_coordinates,0.1,spike,2,144,0.013888888888888888
all,256,sample_null,post_commit,0.01,combined,57,144,0.3958333333333333
all,256,sample_null,post_commit,0.01,directional,12,144,0.08333333333333333
all,256,sample_null,post_commit,0.01,energy,56,144,0.3888888888888889
all,256,sample_null,post_commit,0.01,spike,1,144,0.006944444444444444
all,256,sample_null,post_commit,0.1,combined,144,144,1.0
all,256,sample_null,post_commit,0.1,directional,92,144,0.6388888888888888
all,256,sample_null,post_commit,0.1,energy,144,144,1.0
all,256,sample_null,post_commit,0.1,spike,84,144,0.5833333333333334
all,256,sparse_16,post_commit,0.01,combined,30,144,0.20833333333333334
all,256,sparse_16,post_commit,0.01,directional,17,144,0.11805555555555555
all,256,sparse_16,post_commit,0.01,energy,27,144,0.1875
all,256,sparse_16,post_commit,0.01,spike,26,144,0.18055555555555555
all,256,sparse_16,post_commit,0.1,combined,37,144,0.2569444444444444
all,256,sparse_16,post_commit,0.1,directional,35,144,0.24305555555555555
all,256,sparse_16,post_commit,0.1,energy,37,144,0.2569444444444444
all,256,sparse_16,post_commit,0.1,spike,36,144,0.25
all,256,spike_1,post_commit,0.01,combined,7,144,0.04861111111111111
all,256,spike_1,post_commit,0.01,directional,2,144,0.013888888888888888
all,256,spike_1,post_commit,0.01,energy,6,144,0.041666666666666664
all,256,spike_1,post_commit,0.01,spike,4,144,0.027777777777777776
all,256,spike_1,post_commit,0.1,combined,7,144,0.04861111111111111
all,256,spike_1,post_commit,0.1,directional,2,144,0.013888888888888888
all,256,spike_1,post_commit,0.1,energy,6,144,0.041666666666666664
all,256,spike_1,post_commit,0.1,spike,4,144,0.027777777777777776
